L_ORDERKEY,L_PARTKEY,L_SUPPKEY,L_LINENUMBER,L_QUANTITY,L_EXTENDEDPRICE,L_DISCOUNT,L_TAX,L_RETURNFLAG,L_LINESTATUS,L_SHIPDATE,L_COMMITDATE,L_RECEIPTDATE,L_SHIPINSTRUCT,L_SHIPMODE,L_COMMENT
15318,200,11,6,4,181,0.0,0.04,R,O,1995-05-13,1995-06-09,1995-05-23,DELIVER IN PERSON,RAIL,delayed by supplier
3103,510,76,6,6,534,0.0,0.02,R,F,1992-06-08,1992-07-25,1992-07-06,DELIVER IN PERSON,MAIL,customer compliant regarding quality
14264,1249,77,3,24,274,0.04,0.08,A,F,1998-09-01,1998-09-15,1998-09-20,COLLECT COD,FOB,customer compliant regarding quality
17151,829,86,3,10,769,0.1,0.08,A,O,1997-11-25,1998-01-17,1997-12-20,COLLECT COD,TRUCK,check packaging carefully
10655,351,78,3,48,153,0.01,0.08,R,F,1994-01-19,1994-03-19,1994-02-04,COLLECT COD,REG AIR,check packaging carefully
18610,815,1,7,16,980,0.05,0.02,A,O,1996-12-03,1997-01-19,1996-12-13,NONE,AIR,urgent delivery needed
13471,1230,36,3,22,868,0.0,0.02,N,O,1993-06-25,1993-07-16,1993-07-09,NONE,FOB,check packaging carefully
3099,1169,61,7,24,787,0.0,0.01,A,O,1996-02-28,1996-04-25,1996-03-27,DELIVER IN PERSON,REG AIR,urgent delivery needed
12796,512,58,3,44,478,0.01,0.08,A,O,1994-08-03,1994-09-19,1994-08-07,TAKE BACK RETURN,MAIL,fragile items inside
3836,1839,47,7,34,58,0.05,0.0,N,O,1998-12-11,1999-01-06,1998-12-24,TAKE BACK RETURN,RAIL,check packaging carefully
3537,9,67,7,8,156,0.0,0.02,R,F,1993-06-19,1993-07-22,1993-06-25,DELIVER IN PERSON,RAIL,fragile items inside
7136,1518,36,7,28,871,0.05,0.0,A,F,1996-04-04,1996-04-14,1996-04-24,NONE,FOB,urgent delivery needed
11011,419,5,1,46,995,0.03,0.0,N,O,1996-04-23,1996-06-21,1996-05-09,TAKE BACK RETURN,REG AIR,check packaging carefully
15450,174,16,1,20,961,0.02,0.04,A,F,1995-11-15,1995-12-09,1995-12-13,NONE,MAIL,customer compliant regarding quality
19609,1462,47,6,3,158,0.02,0.06,R,O,1993-08-02,1993-09-13,1993-08-03,NONE,RAIL,fragile items inside
13092,953,99,7,40,319,0.1,0.08,R,O,1996-01-10,1996-02-11,1996-01-31,DELIVER IN PERSON,REG AIR,regular customer request
8697,1100,85,1,30,633,0.01,0.02,R,O,1994-11-03,1994-12-01,1994-11-30,TAKE BACK RETURN,FOB,regular customer request
3466,523,50,1,23,806,0.03,0.02,A,F,1998-09-11,1998-09-24,1998-09-18,COLLECT COD,RAIL,fragile items inside
4571,83,91,1,10,163,0.04,0.08,R,O,1993-02-20,1993-04-15,1993-02-26,COLLECT COD,TRUCK,check packaging carefully
7202,1558,41,6,13,579,0.03,0.01,A,O,1993-04-29,1993-06-17,1993-05-12,COLLECT COD,SHIP,customer compliant regarding quality
8442,220,7,6,16,83,0.02,0.02,R,F,1997-08-18,1997-09-22,1997-08-24,TAKE BACK RETURN,REG AIR,urgent delivery needed
4904,1459,84,1,7,55,0.01,0.04,N,F,1995-09-20,1995-11-11,1995-09-25,TAKE BACK RETURN,SHIP,urgent delivery needed
9845,957,78,1,18,675,0.02,0.04,N,O,1996-08-05,1996-08-23,1996-08-06,DELIVER IN PERSON,RAIL,customer compliant regarding quality
16008,1031,57,4,42,239,0.04,0.06,N,O,1994-12-12,1995-02-02,1995-01-08,COLLECT COD,MAIL,customer compliant regarding quality
7511,826,43,2,36,960,0.0,0.06,R,F,1995-02-25,1995-04-09,1995-03-01,NONE,TRUCK,customer compliant regarding quality
4825,1154,71,1,47,102,0.0,0.01,A,F,1993-01-07,1993-03-06,1993-02-02,NONE,SHIP,urgent delivery needed
10176,281,95,6,4,329,0.01,0.06,R,O,1995-04-13,1995-05-19,1995-04-25,DELIVER IN PERSON,FOB,regular customer request
12689,1460,38,5,43,472,0.1,0.04,N,F,1996-11-10,1996-12-02,1996-11-25,TAKE BACK RETURN,RAIL,customer compliant regarding quality
8844,516,19,7,38,176,0.01,0.02,R,F,1992-09-07,1992-10-08,1992-09-27,TAKE BACK RETURN,TRUCK,fragile items inside
14380,788,14,4,47,786,0.04,0.04,N,O,1995-12-24,1996-02-10,1996-01-10,NONE,REG AIR,customer compliant regarding quality
14865,1194,99,1,40,971,0.04,0.01,R,O,1992-12-28,1993-02-24,1993-01-20,TAKE BACK RETURN,RAIL,fragile items inside
13262,670,32,7,43,125,0.02,0.0,A,F,1998-06-24,1998-07-11,1998-07-18,COLLECT COD,TRUCK,delayed by supplier
1810,1821,33,1,27,9,0.01,0.08,A,O,1994-02-14,1994-04-01,1994-02-19,DELIVER IN PERSON,TRUCK,urgent delivery needed
16468,412,65,4,9,355,0.1,0.01,A,O,1998-09-27,1998-10-27,1998-10-11,NONE,TRUCK,delayed by supplier
11135,67,45,2,27,539,0.01,0.02,A,O,1994-08-10,1994-09-17,1994-08-17,DELIVER IN PERSON,REG AIR,check packaging carefully
19451,1740,23,1,37,507,0.03,0.02,N,F,1996-01-22,1996-03-10,1996-02-06,COLLECT COD,SHIP,delayed by supplier
17744,1248,3,5,20,155,0.05,0.06,R,O,1992-02-24,1992-03-20,1992-02-27,NONE,REG AIR,customer compliant regarding quality
15004,1536,82,5,5,57,0.04,0.02,A,F,1994-05-25,1994-06-06,1994-06-12,NONE,FOB,delayed by supplier
19315,676,22,4,12,286,0.01,0.04,N,F,1996-10-25,1996-12-07,1996-11-13,DELIVER IN PERSON,AIR,check packaging carefully
10849,762,31,5,21,931,0.05,0.04,N,O,1998-02-02,1998-04-01,1998-02-04,COLLECT COD,AIR,regular customer request
16955,1914,69,1,30,884,0.03,0.08,R,O,1993-07-21,1993-08-11,1993-08-16,TAKE BACK RETURN,TRUCK,customer compliant regarding quality
10088,1041,51,4,15,288,0.03,0.0,N,F,1992-09-12,1992-09-27,1992-10-05,DELIVER IN PERSON,FOB,regular customer request
4179,1739,98,2,37,210,0.01,0.02,A,F,1998-11-14,1998-12-09,1998-12-05,COLLECT COD,AIR,check packaging carefully
12375,1336,98,3,15,527,0.01,0.02,R,O,1992-01-21,1992-03-05,1992-02-05,COLLECT COD,REG AIR,regular customer request
10520,815,68,4,35,992,0.0,0.01,A,O,1996-08-21,1996-09-14,1996-09-18,COLLECT COD,FOB,fragile items inside
17875,1208,63,5,36,319,0.0,0.04,R,O,1994-11-13,1994-12-02,1994-12-09,NONE,RAIL,regular customer request
7985,978,2,4,49,438,0.03,0.04,R,O,1998-11-06,1998-11-25,1998-11-22,NONE,REG AIR,delayed by supplier
5913,40,54,3,36,935,0.05,0.08,N,F,1996-11-13,1996-12-12,1996-11-20,NONE,SHIP,delayed by supplier
7777,1660,83,3,7,399,0.03,0.01,A,O,1994-06-15,1994-07-14,1994-07-13,TAKE BACK RETURN,REG AIR,urgent delivery needed
2556,1668,76,3,17,278,0.04,0.0,N,F,1993-05-30,1993-06-14,1993-06-25,DELIVER IN PERSON,FOB,fragile items inside
15108,1915,3,2,13,194,0.03,0.06,N,F,1995-04-11,1995-05-02,1995-05-08,NONE,AIR,regular customer request
10946,1644,11,1,12,669,0.0,0.04,A,F,1993-03-03,1993-04-17,1993-03-15,COLLECT COD,REG AIR,check packaging carefully
11188,926,49,7,41,902,0.0,0.06,A,O,1997-12-17,1998-01-04,1998-01-12,COLLECT COD,FOB,urgent delivery needed
3461,1196,81,5,31,171,0.04,0.0,R,O,1997-12-19,1998-01-24,1997-12-30,COLLECT COD,FOB,check packaging carefully
10173,1015,89,4,46,343,0.1,0.06,N,F,1994-06-13,1994-07-05,1994-07-06,DELIVER IN PERSON,RAIL,urgent delivery needed
17560,1483,20,6,19,467,0.02,0.08,N,O,1997-01-09,1997-02-20,1997-01-10,NONE,SHIP,urgent delivery needed
2697,1281,4,6,34,845,0.1,0.08,A,O,1993-07-21,1993-08-23,1993-08-12,DELIVER IN PERSON,MAIL,check packaging carefully
9472,877,41,2,2,152,0.1,0.08,A,F,1996-03-24,1996-05-01,1996-04-01,NONE,TRUCK,urgent delivery needed
18061,1106,91,5,16,814,0.1,0.06,A,F,1996-09-14,1996-10-28,1996-09-25,NONE,MAIL,customer compliant regarding quality
8565,754,65,2,24,394,0.03,0.0,A,O,1998-04-07,1998-06-05,1998-05-03,TAKE BACK RETURN,AIR,regular customer request
1973,551,13,1,14,57,0.03,0.06,A,O,1994-10-01,1994-10-14,1994-10-19,COLLECT COD,SHIP,check packaging carefully
397,696,72,4,37,803,0.02,0.04,A,O,1996-02-16,1996-03-02,1996-02-28,TAKE BACK RETURN,RAIL,fragile items inside
11528,966,49,7,29,430,0.01,0.01,A,F,1992-03-28,1992-04-10,1992-03-31,COLLECT COD,REG AIR,check packaging carefully
17010,386,18,3,22,883,0.02,0.08,N,O,1995-03-03,1995-04-18,1995-04-01,TAKE BACK RETURN,RAIL,urgent delivery needed
1555,1286,52,3,18,696,0.02,0.04,A,O,1994-08-27,1994-10-22,1994-09-24,COLLECT COD,REG AIR,check packaging carefully
12971,503,91,7,17,1,0.03,0.0,R,O,1992-01-08,1992-02-25,1992-01-30,NONE,SHIP,check packaging carefully
11792,1409,15,4,23,602,0.02,0.08,N,F,1995-12-06,1995-12-30,1995-12-17,NONE,TRUCK,regular customer request
8721,204,27,1,24,712,0.02,0.04,N,F,1992-08-13,1992-09-06,1992-08-22,TAKE BACK RETURN,SHIP,check packaging carefully
5318,808,86,7,31,155,0.0,0.04,N,O,1992-04-20,1992-06-06,1992-05-15,TAKE BACK RETURN,MAIL,fragile items inside
7266,1632,56,3,44,932,0.05,0.01,R,F,1992-03-24,1992-04-25,1992-04-22,DELIVER IN PERSON,MAIL,fragile items inside
4368,1498,45,4,12,110,0.02,0.06,A,O,1993-05-26,1993-07-05,1993-06-19,TAKE BACK RETURN,SHIP,fragile items inside
1029,1983,19,5,19,387,0.02,0.0,N,O,1994-11-22,1994-12-16,1994-12-16,DELIVER IN PERSON,AIR,urgent delivery needed
10739,1337,56,7,13,838,0.0,0.04,N,F,1996-10-02,1996-11-12,1996-10-07,COLLECT COD,FOB,check packaging carefully
1332,75,93,5,25,867,0.02,0.06,A,O,1996-08-30,1996-09-20,1996-09-14,NONE,TRUCK,customer compliant regarding quality
10131,1746,89,1,30,643,0.1,0.02,A,O,1994-06-14,1994-06-30,1994-06-30,TAKE BACK RETURN,MAIL,fragile items inside
6854,1603,69,6,35,257,0.04,0.02,R,F,1998-11-29,1998-12-09,1998-12-04,COLLECT COD,REG AIR,regular customer request
7443,1997,7,7,26,497,0.1,0.02,N,F,1993-07-03,1993-08-29,1993-07-14,DELIVER IN PERSON,TRUCK,urgent delivery needed
15890,327,39,5,46,875,0.0,0.06,N,F,1996-02-05,1996-03-17,1996-02-11,DELIVER IN PERSON,RAIL,regular customer request
9571,552,46,5,1,909,0.1,0.0,A,F,1993-03-04,1993-03-18,1993-04-02,TAKE BACK RETURN,SHIP,customer compliant regarding quality
14197,1570,95,2,41,142,0.04,0.08,R,F,1993-02-07,1993-04-03,1993-02-25,TAKE BACK RETURN,FOB,customer compliant regarding quality
17549,1458,78,3,46,765,0.05,0.0,R,F,1997-09-21,1997-10-17,1997-10-03,NONE,MAIL,regular customer request
15495,333,12,1,37,852,0.03,0.0,A,F,1996-05-04,1996-06-19,1996-05-09,TAKE BACK RETURN,TRUCK,regular customer request
8820,1100,58,6,30,221,0.03,0.04,A,O,1994-02-07,1994-03-14,1994-02-13,NONE,SHIP,fragile items inside
2538,1601,23,4,12,511,0.1,0.02,A,O,1994-07-30,1994-09-15,1994-08-05,NONE,MAIL,delayed by supplier
7184,186,31,5,2,146,0.1,0.0,A,O,1994-01-06,1994-02-07,1994-01-27,TAKE BACK RETURN,SHIP,customer compliant regarding quality
2173,1117,2,4,29,518,0.1,0.02,N,F,1992-04-10,1992-06-08,1992-04-24,COLLECT COD,AIR,customer compliant regarding quality
705,1877,11,3,8,368,0.02,0.04,N,F,1997-12-23,1998-02-20,1998-01-16,DELIVER IN PERSON,RAIL,urgent delivery needed
6343,919,79,2,16,368,0.03,0.08,A,O,1993-10-09,1993-12-06,1993-10-26,DELIVER IN PERSON,FOB,urgent delivery needed
3940,1408,57,6,40,294,0.01,0.04,R,O,1993-03-19,1993-05-17,1993-04-14,NONE,AIR,fragile items inside
19597,1473,7,1,15,837,0.02,0.04,A,F,1993-09-12,1993-10-20,1993-10-02,DELIVER IN PERSON,TRUCK,urgent delivery needed
9043,413,15,2,22,185,0.0,0.04,N,F,1998-03-04,1998-04-02,1998-03-07,TAKE BACK RETURN,TRUCK,fragile items inside
9138,499,98,4,38,23,0.05,0.02,R,O,1996-03-04,1996-03-31,1996-03-21,COLLECT COD,AIR,delayed by supplier
1053,1471,67,3,29,925,0.0,0.06,N,F,1993-04-11,1993-05-02,1993-05-09,DELIVER IN PERSON,MAIL,check packaging carefully
16773,593,44,6,2,764,0.1,0.0,A,O,1993-10-13,1993-10-25,1993-10-26,DELIVER IN PERSON,AIR,fragile items inside
9856,770,56,1,31,482,0.0,0.08,R,F,1993-10-02,1993-11-03,1993-10-25,NONE,FOB,regular customer request
18255,132,52,3,29,858,0.05,0.01,N,F,1997-11-13,1998-01-08,1997-11-15,NONE,RAIL,fragile items inside
14259,881,81,6,41,393,0.05,0.0,A,F,1997-02-02,1997-03-23,1997-02-10,DELIVER IN PERSON,REG AIR,urgent delivery needed
5904,140,86,3,1,565,0.05,0.08,N,O,1992-05-02,1992-05-14,1992-05-31,NONE,MAIL,regular customer request
12627,1460,73,5,17,457,0.04,0.06,N,O,1992-11-08,1992-12-27,1992-12-03,COLLECT COD,MAIL,fragile items inside
2193,1212,9,2,13,906,0.0,0.06,A,F,1994-07-26,1994-08-06,1994-08-08,NONE,RAIL,fragile items inside
1046,484,55,3,9,337,0.1,0.01,A,O,1993-06-15,1993-08-11,1993-07-10,COLLECT COD,MAIL,customer compliant regarding quality
14275,1697,53,4,27,618,0.1,0.08,N,O,1998-10-20,1998-11-13,1998-10-27,COLLECT COD,FOB,fragile items inside
18614,1601,79,5,38,998,0.0,0.0,N,F,1993-08-11,1993-09-15,1993-08-12,NONE,SHIP,check packaging carefully
14484,1813,35,5,22,568,0.04,0.01,N,F,1994-09-24,1994-10-15,1994-10-05,COLLECT COD,MAIL,regular customer request
5644,687,75,6,32,56,0.03,0.06,N,F,1993-07-18,1993-09-02,1993-07-31,DELIVER IN PERSON,RAIL,customer compliant regarding quality
15397,824,26,5,48,491,0.05,0.06,A,F,1997-08-05,1997-08-31,1997-08-30,COLLECT COD,MAIL,regular customer request
2482,1848,55,6,19,760,0.01,0.0,N,O,1997-05-15,1997-06-03,1997-05-27,NONE,SHIP,urgent delivery needed
3714,1938,56,5,8,580,0.1,0.01,N,F,1997-08-05,1997-08-25,1997-08-25,TAKE BACK RETURN,TRUCK,delayed by supplier
12874,1458,6,5,20,861,0.04,0.0,A,F,1994-09-01,1994-10-23,1994-09-11,COLLECT COD,FOB,check packaging carefully
10700,1163,27,2,17,138,0.01,0.04,A,O,1996-04-15,1996-05-29,1996-04-26,DELIVER IN PERSON,MAIL,check packaging carefully
18437,1508,22,1,35,175,0.05,0.0,R,O,1997-05-15,1997-06-18,1997-05-29,NONE,MAIL,delayed by supplier
12237,568,91,7,29,977,0.01,0.01,A,F,1994-08-16,1994-08-27,1994-08-31,DELIVER IN PERSON,REG AIR,urgent delivery needed
10216,932,52,7,6,649,0.01,0.04,N,O,1998-08-19,1998-09-17,1998-08-20,TAKE BACK RETURN,RAIL,customer compliant regarding quality
16609,1440,17,1,37,133,0.0,0.02,R,O,1993-12-18,1994-01-12,1993-12-21,TAKE BACK RETURN,TRUCK,check packaging carefully
13337,368,31,4,42,432,0.03,0.06,R,F,1998-09-02,1998-09-14,1998-09-19,TAKE BACK RETURN,FOB,delayed by supplier
16951,459,61,4,39,993,0.03,0.04,N,F,1995-10-13,1995-10-31,1995-11-08,NONE,TRUCK,customer compliant regarding quality
572,1542,16,3,46,305,0.03,0.01,A,F,1996-12-19,1997-01-01,1996-12-31,COLLECT COD,TRUCK,delayed by supplier
9461,1793,48,5,47,517,0.0,0.08,N,F,1995-10-03,1995-10-21,1995-10-11,COLLECT COD,MAIL,fragile items inside
5819,928,13,2,10,859,0.0,0.06,A,O,1996-01-10,1996-03-07,1996-02-08,COLLECT COD,FOB,check packaging carefully
5283,984,84,7,29,185,0.03,0.01,N,F,1993-06-04,1993-06-14,1993-06-10,TAKE BACK RETURN,SHIP,check packaging carefully
9525,603,55,3,40,783,0.03,0.0,A,F,1996-09-14,1996-10-06,1996-10-09,COLLECT COD,TRUCK,regular customer request
11356,793,48,3,25,999,0.03,0.06,A,F,1992-06-06,1992-08-03,1992-06-27,TAKE BACK RETURN,TRUCK,delayed by supplier
1672,1501,77,1,18,987,0.03,0.01,R,O,1992-08-10,1992-09-29,1992-08-15,NONE,SHIP,fragile items inside
11006,710,43,3,23,449,0.03,0.06,N,F,1998-01-07,1998-02-17,1998-02-04,TAKE BACK RETURN,FOB,regular customer request
13864,612,16,3,32,912,0.0,0.02,A,O,1995-11-25,1996-01-12,1995-12-03,DELIVER IN PERSON,FOB,regular customer request
2372,49,25,6,38,716,0.05,0.01,A,F,1992-04-22,1992-05-08,1992-05-13,COLLECT COD,REG AIR,fragile items inside
10711,1381,50,7,39,735,0.02,0.06,R,O,1995-07-27,1995-08-15,1995-08-13,TAKE BACK RETURN,RAIL,check packaging carefully
8381,1367,54,7,13,302,0.05,0.01,N,O,1992-10-07,1992-11-22,1992-10-21,COLLECT COD,SHIP,urgent delivery needed
1093,610,24,4,48,919,0.1,0.04,A,F,1992-09-29,1992-10-21,1992-10-10,TAKE BACK RETURN,FOB,delayed by supplier
19055,224,70,2,4,892,0.03,0.04,R,F,1993-08-22,1993-09-06,1993-09-10,DELIVER IN PERSON,SHIP,urgent delivery needed
3087,1105,45,1,14,38,0.03,0.02,R,O,1994-11-19,1994-12-19,1994-12-01,DELIVER IN PERSON,MAIL,regular customer request
14479,264,49,5,35,605,0.03,0.02,N,O,1993-06-01,1993-07-11,1993-06-14,NONE,REG AIR,urgent delivery needed
4417,1246,64,7,4,945,0.1,0.0,R,F,1998-10-27,1998-11-12,1998-11-14,DELIVER IN PERSON,MAIL,regular customer request
4167,1718,16,5,8,204,0.05,0.0,R,O,1995-01-08,1995-02-11,1995-01-31,NONE,MAIL,regular customer request
3605,545,6,4,40,981,0.1,0.06,A,O,1993-07-08,1993-08-01,1993-08-02,DELIVER IN PERSON,AIR,fragile items inside
12641,475,19,6,11,669,0.02,0.0,A,O,1993-01-06,1993-02-16,1993-01-24,TAKE BACK RETURN,SHIP,check packaging carefully
3640,348,45,7,48,865,0.04,0.0,R,F,1995-10-13,1995-12-06,1995-11-02,NONE,FOB,check packaging carefully
11417,957,80,3,21,372,0.05,0.04,N,F,1994-05-29,1994-07-21,1994-06-25,DELIVER IN PERSON,TRUCK,delayed by supplier
4501,1289,91,4,24,885,0.02,0.04,N,F,1996-10-12,1996-10-29,1996-10-13,COLLECT COD,FOB,urgent delivery needed
10515,53,48,7,20,567,0.02,0.04,A,F,1993-07-08,1993-09-04,1993-07-24,COLLECT COD,REG AIR,check packaging carefully
11246,1848,53,1,30,876,0.04,0.01,R,O,1995-01-15,1995-02-12,1995-01-22,TAKE BACK RETURN,SHIP,delayed by supplier
9909,815,63,7,9,495,0.0,0.02,A,F,1997-06-19,1997-08-09,1997-07-11,DELIVER IN PERSON,SHIP,customer compliant regarding quality
18246,1733,43,2,42,496,0.1,0.06,A,F,1997-04-24,1997-06-15,1997-05-14,TAKE BACK RETURN,AIR,delayed by supplier
16943,1342,59,3,18,194,0.05,0.06,N,F,1996-08-09,1996-08-28,1996-08-29,NONE,FOB,check packaging carefully
